track,frame,x,y,class,width,height
1,6,650,879,car,277,272
2,6,1501,242,car,240,199
3,6,636,326,car,102,77
4,6,696,267,car,81,61
6,6,815,280,car,93,84
7,6,778,357,car,119,83
9,6,762,211,car,73,55
10,6,766,463,car,160,145
1,7,643,912,car,297,293
2,7,1487,233,car,232,193
3,7,633,328,car,104,79
4,7,696,267,car,82,62
6,7,814,282,car,105,95
7,7,776,360,car,122,86
9,7,760,211,car,73,55
10,7,764,467,car,165,150
1,8,636,939,car,290,286
2,8,1471,226,car,220,184
3,8,629,333,car,106,81
4,8,695,270,car,81,61
6,8,813,283,car,106,96
7,8,775,364,car,125,88
9,8,759,212,car,74,56
10,8,759,479,car,164,151
12,8,906,176,car,54,41
1,9,628,959,car,267,260
2,9,1459,218,car,209,175
3,9,627,336,car,107,82
4,9,694,272,car,81,61
6,9,813,285,car,110,100
7,9,773,368,car,128,91
9,9,757,212,car,75,56
10,9,756,488,car,168,155
12,9,904,178,car,55,43
1,10,618,979,car,236,222
2,10,1449,214,car,202,170
3,10,622,341,car,105,81
4,10,693,272,car,82,62
6,10,812,285,car,113,104
7,10,772,376,car,132,95
9,10,756,214,car,75,56
10,10,752,494,car,173,161
12,10,902,179,car,56,43
1,11,618,995,car,212,186
2,11,1436,209,car,194,163
3,11,620,343,car,106,82
4,11,693,273,car,81,61
6,11,808,290,car,110,101
7,11,769,381,car,136,99
9,11,754,215,car,79,58
10,11,748,505,car,174,164
12,11,900,180,car,57,44
1,12,610,1018,car,167,133
2,12,1427,205,car,185,156
3,12,616,347,car,108,84
4,12,692,275,car,82,61
6,12,807,295,car,104,95
7,12,768,386,car,140,104
9,12,753,216,car,80,59
10,12,743,515,car,180,172
12,12,899,182,car,58,45
1,13,604,1040,car,149,119
2,13,1416,201,car,180,153
3,13,614,350,car,111,86
4,13,690,276,car,82,62
6,13,806,298,car,98,90
7,13,765,390,car,144,108
9,13,749,217,car,81,60
10,13,742,525,car,182,176
12,13,899,183,car,60,47
2,14,1407,196,car,171,147
3,14,611,353,car,112,87
4,14,688,277,car,85,64
6,14,806,299,car,101,92
7,14,763,395,car,148,113
9,14,749,218,car,82,61
10,14,734,539,car,184,180
12,14,895,186,car,59,46
2,15,1401,192,car,166,144
3,15,608,359,car,114,88
4,15,686,280,car,85,64
6,15,806,300,car,106,97
7,15,761,400,car,147,114
9,15,748,219,car,82,62
10,15,730,552,car,188,186
12,15,893,188,car,60,47
2,16,1394,186,car,153,133
3,16,602,364,car,115,89
4,16,684,281,car,85,64
6,16,803,301,car,105,96
7,16,758,407,car,148,117
9,16,745,220,car,80,60
10,16,726,565,car,189,189
12,16,890,189,car,61,49
2,17,1389,182,car,147,129
3,17,596,368,car,118,92
4,17,682,283,car,83,62
6,17,802,305,car,108,99
7,17,754,415,car,154,123
9,17,744,220,car,80,61
10,17,719,580,car,196,197
12,17,888,191,car,60,48
2,18,1382,177,car,142,124
3,18,592,374,car,120,93
4,18,680,284,car,83,62
6,18,800,308,car,108,100
7,18,749,421,car,154,125
9,18,742,221,car,80,61
10,18,712,596,car,198,201
12,18,886,192,car,61,49
2,19,1376,176,car,140,123
3,19,586,379,car,122,96
4,19,678,286,car,85,64
6,19,798,308,car,109,101
7,19,747,428,car,152,125
9,19,740,223,car,79,60
10,19,707,612,car,204,207
12,19,882,195,car,60,48
2,20,1368,173,car,138,123
3,20,582,383,car,124,98
4,20,677,287,car,84,63
6,20,796,311,car,109,101
7,20,744,433,car,152,127
9,20,739,223,car,81,62
10,20,700,632,car,215,220
12,20,881,197,car,62,50
2,21,1363,170,car,133,119
3,21,577,389,car,124,99
4,21,675,290,car,85,64
6,21,793,313,car,104,96
7,21,741,441,car,154,130
9,21,738,223,car,81,62
10,21,695,653,car,220,226
12,21,880,199,car,64,52
2,22,1359,168,car,131,119
3,22,572,394,car,126,100
4,22,673,292,car,84,63
6,22,790,317,car,110,102
7,22,736,448,car,156,133
9,22,734,227,car,76,58
10,22,685,675,car,231,238
12,22,878,201,car,65,53
2,23,1358,167,car,126,116
3,23,565,399,car,128,102
4,23,669,295,car,85,63
6,23,788,318,car,109,102
7,23,733,457,car,156,134
9,23,731,228,car,77,58
10,23,677,699,car,243,253
12,23,876,202,car,67,55
2,24,1352,166,car,122,114
3,24,559,406,car,129,103
4,24,668,297,car,88,66
6,24,788,323,car,113,106
7,24,729,465,car,157,137
9,24,731,230,car,78,59
10,24,667,725,car,250,263
12,24,874,203,car,70,58
2,25,1348,161,car,121,114
3,25,554,411,car,128,102
4,25,666,299,car,90,68
6,25,785,326,car,117,111
7,25,726,473,car,163,144
9,25,728,231,car,79,60
10,25,658,755,car,259,275
12,25,872,206,car,66,55
2,26,1344,158,car,115,109
3,26,548,420,car,134,107
4,26,662,302,car,93,70
6,26,782,333,car,118,112
7,26,722,482,car,167,149
9,26,727,232,car,80,60
10,26,650,786,car,268,286
12,26,871,209,car,64,54
2,27,1339,156,car,109,104
3,27,542,428,car,135,109
4,27,660,306,car,93,71
6,27,781,339,car,118,112
7,27,719,492,car,167,151
9,27,724,234,car,82,62
10,27,642,821,car,286,308
12,27,869,210,car,64,54
2,28,1335,152,car,110,107
3,28,536,435,car,137,111
4,28,658,308,car,94,73
6,28,779,341,car,123,118
7,28,715,502,car,170,154
9,28,721,235,car,83,62
10,28,632,860,car,302,328
12,28,868,213,car,65,56
2,29,1333,151,car,106,104
3,29,528,444,car,142,114
4,29,655,311,car,93,72
6,29,777,349,car,121,117
7,29,711,515,car,175,161
9,29,720,236,car,86,65
10,29,617,898,car,311,339
12,29,867,216,car,66,57
2,30,1327,148,car,103,101
3,30,521,450,car,147,118
4,30,651,315,car,93,72
6,30,776,352,car,123,120
7,30,703,528,car,179,165
9,30,718,238,car,87,65
10,30,609,919,car,320,349
12,30,865,220,car,67,57
3,31,510,462,car,152,123
4,31,647,318,car,94,72
6,31,775,356,car,124,122
7,31,699,541,car,181,169
9,31,717,239,car,86,65
12,31,863,220,car,68,58
3,32,503,473,car,152,123
4,32,644,321,car,95,73
6,32,773,360,car,125,124
7,32,694,557,car,187,176
9,32,714,240,car,89,67
12,32,861,223,car,68,59
3,33,494,483,car,156,126
4,33,640,325,car,98,76
6,33,770,366,car,129,128
7,33,689,571,car,190,179
9,33,712,242,car,90,68
12,33,859,224,car,72,63
3,34,485,492,car,161,131
4,34,637,327,car,99,76
6,34,769,375,car,130,130
7,34,684,588,car,196,186
9,34,710,243,car,91,69
12,34,857,229,car,70,62
3,35,475,504,car,169,138
4,35,632,332,car,102,79
6,35,767,379,car,134,135
7,35,678,604,car,203,194
9,35,708,245,car,92,70
12,35,854,232,car,71,62
3,36,464,518,car,171,140
4,36,628,337,car,101,79
6,36,764,385,car,135,135
7,36,673,625,car,208,200
9,36,707,246,car,92,70
12,36,852,234,car,72,63
3,37,452,531,car,177,144
4,37,624,341,car,102,80
6,37,762,391,car,138,139
7,37,669,645,car,215,209
9,37,700,249,car,90,69
12,37,851,236,car,72,63
3,38,440,545,car,182,149
4,38,621,345,car,104,82
6,38,761,397,car,140,142
7,38,662,667,car,228,224
9,38,697,253,car,90,70
12,38,849,239,car,74,65
3,39,429,562,car,189,155
4,39,615,351,car,108,86
6,39,759,406,car,143,145
7,39,653,692,car,234,231
9,39,695,254,car,91,70
12,39,845,242,car,76,67
3,40,417,575,car,193,159
4,40,613,357,car,110,87
6,40,759,408,car,137,139
7,40,644,718,car,244,244
9,40,693,258,car,91,70
12,40,844,246,car,78,69
3,41,402,594,car,202,167
4,41,608,364,car,111,88
6,41,756,421,car,147,150
7,41,636,748,car,255,257
9,41,691,259,car,93,72
