track,frame,x,y,class,width,height
12,41,843,249,car,75,66
25,41,1728,389,car,95,97
3,42,386,612,car,211,174
4,42,602,367,car,113,90
6,42,754,435,car,147,150
7,42,626,780,car,263,269
9,42,689,261,car,96,74
12,42,841,253,car,74,65
25,42,1697,374,car,97,95
3,43,373,632,car,220,182
4,43,596,373,car,115,91
6,43,751,442,car,155,159
7,43,616,814,car,278,286
9,43,686,264,car,97,75
12,43,840,256,car,77,68
25,43,1672,360,car,96,91
3,44,355,652,car,227,189
4,44,588,381,car,116,93
6,44,749,450,car,159,164
7,44,604,854,car,296,309
9,44,684,265,car,98,76
12,44,837,259,car,80,71
25,44,1646,346,car,95,88
3,45,335,675,car,233,194
4,45,583,387,car,119,96
6,45,746,464,car,165,172
7,45,589,898,car,311,328
9,45,682,268,car,103,81
12,45,835,263,car,83,74
25,45,1623,335,car,92,84
3,46,316,699,car,242,202
4,46,578,393,car,122,97
6,46,744,476,car,170,179
7,46,577,928,car,295,308
9,46,676,272,car,97,76
12,46,832,268,car,80,71
25,46,1600,323,car,92,82
3,47,300,727,car,250,209
4,47,571,399,car,123,99
6,47,741,488,car,175,187
7,47,567,954,car,266,269
9,47,672,275,car,99,78
12,47,830,272,car,80,71
25,47,1583,313,car,92,80
3,48,276,756,car,261,219
4,48,563,407,car,125,100
6,48,735,508,car,173,185
7,48,557,979,car,229,220
9,48,669,277,car,99,78
12,48,828,276,car,81,72
25,48,1564,304,car,96,81
3,49,251,789,car,282,238
4,49,556,416,car,130,106
6,49,732,521,car,179,193
7,49,549,1006,car,186,163
9,49,662,281,car,101,80
12,49,828,280,car,84,74
25,49,1548,294,car,87,72
3,50,225,824,car,292,247
4,50,548,424,car,135,111
6,50,729,540,car,174,187
7,50,541,1040,car,130,90
9,50,658,283,car,105,83
12,50,826,285,car,89,79
25,50,1531,285,car,91,74
28,50,825,171,car,73,54
3,51,195,865,car,311,266
4,51,542,435,car,136,112
6,51,726,554,car,188,203
7,51,534,1065,car,101,69
9,51,656,286,car,108,86
12,51,823,291,car,88,79
25,51,1518,277,car,86,69
28,51,820,173,car,75,56
3,52,167,909,car,338,292
4,52,535,445,car,139,115
6,52,722,580,car,182,195
9,52,651,292,car,106,85
12,52,822,296,car,87,77
25,52,1504,271,car,82,65
28,52,815,176,car,74,56
3,53,146,939,car,322,279
4,53,527,452,car,143,118
6,53,719,591,car,210,227
9,53,648,296,car,111,90
12,53,822,301,car,88,78
25,53,1489,264,car,82,64
28,53,813,177,car,73,56
3,54,129,963,car,287,249
4,54,519,464,car,145,120
6,54,714,609,car,226,248
9,54,644,299,car,113,93
12,54,820,305,car,92,83
25,54,1478,258,car,81,62
28,54,807,179,car,75,58
3,55,114,989,car,237,204
4,55,509,477,car,147,122
6,55,711,632,car,234,259
9,55,640,302,car,115,94
12,55,818,312,car,93,84
25,55,1466,252,car,80,62
28,55,802,182,car,77,61
3,56,101,1013,car,183,152
4,56,500,489,car,151,126
6,56,705,654,car,243,274
9,56,634,304,car,118,98
12,56,816,319,car,98,88
25,56,1456,247,car,79,60
28,56,798,183,car,77,61
3,57,85,1036,car,175,145
4,57,488,502,car,161,134
6,57,701,681,car,252,286
9,57,630,308,car,120,101
12,57,813,325,car,102,92
25,57,1445,241,car,77,58
28,57,795,186,car,73,59
4,58,478,517,car,163,137
6,58,694,712,car,268,308
9,58,626,312,car,121,103
12,58,809,331,car,103,94
25,58,1437,237,car,75,57
28,58,790,189,car,72,58
4,59,466,532,car,168,142
6,59,687,746,car,283,328
9,59,622,317,car,118,101
12,59,806,338,car,104,96
25,59,1426,232,car,73,55
28,59,786,191,car,74,60
4,60,452,548,car,174,147
6,60,678,783,car,300,351
9,60,617,322,car,116,99
12,60,804,345,car,106,99
25,60,1417,228,car,71,53
28,60,781,193,car,75,61
29,60,1714,401,car,115,100
4,61,440,566,car,181,154
6,61,673,802,car,309,362
9,61,612,327,car,117,100
12,61,801,351,car,108,101
25,61,1411,224,car,70,53
28,61,778,196,car,75,62
29,61,1687,385,car,115,98
4,62,428,585,car,186,158
6,62,660,861,car,326,386
9,62,605,334,car,120,104
12,62,799,358,car,108,101
25,62,1405,219,car,69,52
28,62,770,198,car,80,66
29,62,1661,370,car,111,94
4,63,414,606,car,195,167
6,63,655,883,car,337,398
9,63,600,338,car,124,107
12,63,796,366,car,111,104
25,63,1396,215,car,67,50
28,63,765,200,car,80,66
29,63,1639,357,car,109,91
4,64,399,629,car,205,175
9,64,595,344,car,126,110
12,64,793,376,car,115,109
25,64,1390,210,car,65,48
28,64,761,207,car,71,58
29,64,1617,345,car,106,87
4,65,381,653,car,215,185
9,65,592,348,car,127,112
12,65,790,386,car,117,111
25,65,1383,207,car,64,48
28,65,757,211,car,70,56
29,65,1596,335,car,104,84
30,65,1775,351,car,89,78
4,66,363,682,car,225,193
9,66,585,354,car,127,111
12,66,786,395,car,122,116
25,66,1378,204,car,63,47
28,66,754,211,car,76,61
29,66,1577,324,car,98,78
30,66,1752,342,car,90,77
4,67,343,711,car,237,204
9,67,578,361,car,130,115
12,67,782,405,car,124,118
25,67,1372,200,car,64,48
28,67,749,216,car,75,60
29,67,1560,317,car,99,78
30,67,1730,333,car,91,76
4,68,320,744,car,246,213
9,68,572,367,car,125,109
12,68,778,417,car,125,121
25,68,1367,198,car,61,45
28,68,745,218,car,75,60
29,68,1543,306,car,98,77
30,68,1711,323,car,86,70
4,69,297,779,car,268,235
9,69,563,375,car,135,118
12,69,772,431,car,127,123
25,69,1364,196,car,60,45
29,69,1529,298,car,96,74
30,69,1693,314,car,83,66
4,70,273,816,car,277,244
9,70,556,385,car,138,121
12,70,769,442,car,132,127
25,70,1358,193,car,59,44
28,70,739,229,car,72,57
29,70,1515,290,car,90,69
30,70,1676,306,car,84,65
4,71,242,862,car,296,263
9,71,549,391,car,143,125
12,71,765,459,car,134,130
25,71,1352,189,car,57,42
28,71,734,231,car,73,58
29,71,1502,282,car,90,68
30,71,1661,299,car,82,62
4,72,214,912,car,320,285
9,72,542,397,car,150,132
12,72,760,476,car,134,129
25,72,1348,187,car,55,41
28,72,729,234,car,77,62
29,72,1490,275,car,88,67
30,72,1644,291,car,81,60
4,73,177,946,car,301,264
9,73,535,404,car,154,137
12,73,756,486,car,148,144
25,73,1342,183,car,53,39
28,73,723,237,car,80,64
29,73,1473,266,car,85,64
30,73,1628,285,car,78,56
2,74,951,152,car,39,34
4,74,153,978,car,258,218
9,74,527,415,car,158,142
12,74,750,504,car,154,151
28,74,719,241,car,81,65
29,74,1467,263,car,85,65
30,74,1614,278,car,81,57
2,75,944,155,car,38,31
4,75,137,1008,car,204,161
9,75,515,427,car,160,143
12,75,746,523,car,158,155
25,75,1337,180,car,54,39
28,75,715,245,car,83,67
29,75,1450,254,car,82,62
30,75,1603,272,car,79,55
2,76,943,156,car,39,31
4,76,119,1034,car,200,158
9,76,507,436,car,163,147
12,76,740,539,car,170,169
25,76,1335,177,car,52,38
28,76,710,250,car,84,68
29,76,1446,252,car,81,61
30,76,1589,267,car,78,53
2,77,939,157,car,42,32
9,77,498,447,car,167,151
12,77,733,558,car,179,179
25,77,1331,175,car,51,38
28,77,704,253,car,88,72
29,77,1432,244,car,78,59
30,77,1577,262,car,77,51
33,77,653,226,car,66,51
2,78,937,159,car,43,31
9,78,487,459,car,171,154
12,78,727,579,car,187,190
25,78,1328,173,car,51,38
28,78,698,258,car,93,76
30,78,1569,257,car,77,52
33,78,644,229,car,68,52
2,79,936,159,car,47,33
9,79,475,471,car,179,162
12,79,720,603,car,193,197
25,79,1327,172,car,51,39
28,79,695,261,car,97,80
29,79,1419,236,car,75,57
30,79,1557,251,car,76,50
33,79,637,233,car,68,52
2,80,934,160,car,50,35
9,80,464,484,car,185,168
12,80,714,631,car,204,211
25,80,1323,170,car,50,38
28,80,689,265,car,95,79
29,80,1413,233,car,73,55
30,80,1545,246,car,75,49
33,80,630,236,car,70,53
2,81,932,161,car,53,37
9,81,452,498,car,193,176
12,81,706,662,car,222,232
25,81,1321,169,car,49,38
28,81,681,270,car,93,77
29,81,1406,228,car,70,53
30,81,1537,242,car,75,48
33,81,620,240,car,72,54
2,82,931,161,car,56,39
9,82,436,515,car,197,181
12,82,698,693,car,229,242
25,82,1319,166,car,46,35
28,82,675,276,car,95,79
29,82,1398,224,car,68,51
30,82,1530,238,car,73,47
33,82,612,245,car,72,53
2,83,926,162,car,56,40
9,83,428,525,car,202,185
12,83,687,730,car,243,260
25,83,1315,163,car,45,34
28,83,670,281,car,98,82
29,83,1391,221,car,67,50
30,83,1521,234,car,73,46
33,83,603,248,car,79,58
9,84,408,548,car,212,195
12,84,676,775,car,255,276
28,84,665,283,car,101,84
29,84,1384,217,car,68,51
30,84,1512,230,car,74,47
33,84,597,254,car,81,59
9,85,389,567,car,229,213
12,85,668,821,car,273,301
28,85,658,291,car,106,89
29,85,1379,214,car,66,49
30,85,1505,227,car,71,45
33,85,587,259,car,83,61
2,86,916,172,car,59,42
9,86,374,588,car,236,221
12,86,654,875,car,298,332
25,86,1312,158,car,45,35
28,86,651,297,car,111,94
29,86,1374,210,car,64,48
30,86,1497,223,car,70,44
33,86,578,263,car,83,61
34,86,853,157,car,49,41
2,87,915,174,car,59,43
9,87,358,612,car,244,230
12,87,644,916,car,287,319
25,87,1308,156,car,45,35
28,87,644,303,car,111,96
29,87,1368,207,car,62,47
30,87,1490,219,car,68,43
33,87,569,268,car,84,61
34,87,850,160,car,50,42
2,88,911,176,car,59,43
9,88,337,636,car,256,243
12,88,633,950,car,256,276
25,88,1308,154,car,44,34
28,88,634,308,car,114,100
29,88,1360,202,car,60,45
30,88,1485,217,car,67,42
33,88,560,272,car,87,64
34,88,847,161,car,51,42
35,88,1778,348,car,95,71
2,89,909,178,car,61,45
9,89,318,663,car,264,253
12,89,626,983,car,213,213
25,89,1306,154,car,42,34
28,89,629,317,car,114,99
29,89,1358,202,car,60,45
30,89,1480,214,car,66,41
33,89,549,278,car,88,64
35,89,1758,341,car,98,72
2,90,906,180,car,62,45
9,90,293,692,car,277,267
12,90,617,1020,car,156,134
25,90,1305,154,car,41,33
28,90,623,323,car,116,101
29,90,1354,198,car,58,43
30,90,1471,210,car,64,40
33,90,542,284,car,90,65
35,90,1738,334,car,100,73
2,91,902,182,car,62,45
9,91,279,707,car,284,275
12,91,610,1048,car,144,124
25,91,1304,153,car,43,35
28,91,617,327,car,121,107
29,91,1349,196,car,58,43
30,91,1467,207,car,64,40
33,91,535,288,car,93,67
34,91,836,166,car,52,43
35,91,1721,326,car,100,73
2,92,901,189,car,59,42
25,92,1303,153,car,43,35
28,92,609,336,car,124,111
29,92,1344,193,car,57,42
30,92,1459,204,car,64,40
33,92,524,294,car,97,69
34,92,832,168,car,56,46
35,92,1704,320,car,95,69
2,93,897,191,car,63,45
9,93,212,800,car,329,319
25,93,1302,152,car,40,33
28,93,599,345,car,128,114
29,93,1340,191,car,56,42
30,93,1454,202,car,64,40
33,93,514,299,car,99,70
34,93,829,170,car,58,47
35,93,1690,310,car,90,65
2,94,895,195,car,61,44
9,94,195,820,car,339,329
25,94,1301,152,car,38,31
28,94,589,353,car,130,116
29,94,1337,189,car,54,40
30,94,1450,200,car,62,39
33,94,504,306,car,101,72
34,94,825,171,car,56,46
35,94,1678,304,car,91,67
2,95,894,198,car,66,48
9,95,160,886,car,355,351
25,95,1299,150,car,37,31
28,95,582,362,car,136,123
29,95,1335,187,car,54,40
30,95,1447,197,car,61,38
33,95,495,310,car,108,76
34,95,821,173,car,55,45
35,95,1664,297,car,85,62
2,96,890,200,car,67,50
9,96,142,909,car,365,362
28,96,572,374,car,135,123
29,96,1329,183,car,52,39
30,96,1441,195,car,62,39
33,96,484,316,car,109,77
34,96,817,175,car,55,45
35,96,1651,291,car,84,62
39,96,1810,374,car,77,93
2,97,888,201,car,69,52
28,97,562,384,car,137,125
30,97,1435,193,car,59,37
33,97,474,323,car,111,78
34,97,813,178,car,57,47
35,97,1638,285,car,81,59
39,97,1788,364,car,79,90
2,98,886,203,car,70,53
28,98,551,394,car,141,130
30,98,1429,192,car,57,36
33,98,463,328,car,113,79
34,98,810,180,car,57,47
35,98,1626,280,car,77,57
39,98,1768,355,car,80,88
2,99,883,209,car,69,53
28,99,542,402,car,147,136
29,99,1324,181,car,48,36
30,99,1425,190,car,55,34
33,99,452,336,car,118,83
35,99,1614,275,car,77,57
39,99,1748,344,car,80,84
2,100,881,213,car,71,54
28,100,531,416,car,151,140
29,100,1320,177,car,46,34
30,100,1423,188,car,56,34
33,100,440,342,car,122,86
35,100,1601,271,car,75,56
39,100,1729,336,car,84,84
41,100,1522,282,car,113,78
2,101,878,217,car,73,57
28,101,523,429,car,155,144
29,101,1317,175,car,45,33
30,101,1418,186,car,52,31
33,101,429,349,car,123,86
35,101,1591,265,car,70,52
39,101,1714,326,car,85,82
41,101,1507,275,car,108,75
2,102,874,221,car,73,57
28,102,509,444,car,161,150
29,102,1317,173,car,44,32
30,102,1416,184,car,51,31
33,102,418,355,car,127,88
34,102,797,189,car,60,50
35,102,1581,260,car,72,53
39,102,1699,320,car,84,79
41,102,1496,269,car,107,74
2,103,871,222,car,67,52
28,103,496,458,car,166,154
29,103,1313,173,car,43,31
30,103,1411,181,car,50,30
33,103,404,363,car,129,90
34,103,792,192,car,61,50
35,103,1574,256,car,68,50
39,103,1683,313,car,84,77
41,103,1484,263,car,107,74
43,103,925,175,car,66,32
2,104,869,230,car,71,56
28,104,481,473,car,173,161
29,104,1310,173,car,43,31
33,104,390,370,car,133,91
34,104,788,195,car,63,51
35,104,1564,250,car,66,48
39,104,1669,305,car,84,75
41,104,1475,258,car,103,72
43,104,941,163,car,68,33
2,105,866,236,car,73,57
28,105,469,489,car,181,170
29,105,1306,171,car,42,30
30,105,1406,178,car,53,33
33,105,377,377,car,137,94
34,105,784,198,car,66,53
35,105,1554,245,car,66,48
39,105,1654,299,car,81,71
41,105,1463,251,car,99,69
43,105,930,171,car,77,38
2,106,864,238,car,77,61
28,106,452,508,car,191,179
30,106,1403,176,car,52,32
33,106,362,385,car,144,99
34,106,780,200,car,66,54
35,106,1545,244,car,65,47
39,106,1640,293,car,80,67
41,106,1452,245,car,96,67
43,106,929,171,car,80,40
2,107,861,242,car,82,65
28,107,437,527,car,199,188
29,107,1304,167,car,42,30
30,107,1399,174,car,51,32
33,107,345,394,car,146,99
34,107,775,201,car,67,54
35,107,1538,240,car,63,46
39,107,1628,286,car,82,67
41,107,1443,241,car,94,65
2,108,858,249,car,83,66
28,108,418,550,car,205,195
29,108,1301,165,car,41,30
33,108,327,402,car,149,101
34,108,771,204,car,67,55
35,108,1529,237,car,63,45
39,108,1615,282,car,83,67
41,108,1433,236,car,94,65
2,109,856,254,car,83,67
28,109,400,572,car,215,206
30,109,1395,174,car,50,31
33,109,309,409,car,154,103
34,109,768,207,car,67,54
35,109,1523,234,car,62,45
39,109,1607,277,car,82,65
41,109,1425,232,car,91,64
2,110,854,260,car,85,69
28,110,379,599,car,227,218
30,110,1394,173,car,47,29
33,110,288,419,car,161,106
34,110,763,211,car,70,57
35,110,1515,230,car,64,46
39,110,1595,272,car,80,63
41,110,1418,228,car,87,61
45,110,1789,357,car,92,89
2,111,851,265,car,89,73
28,111,367,613,car,234,224
30,111,1390,171,car,46,29
33,111,266,430,car,167,109
34,111,758,214,car,71,57
35,111,1508,227,car,60,44
39,111,1586,266,car,81,63
41,111,1413,223,car,84,59
45,111,1771,347,car,98,92
2,112,846,273,car,89,73
28,112,334,659,car,254,244
30,112,1390,169,car,44,28
33,112,239,438,car,176,113
34,112,754,217,car,74,60
35,112,1501,223,car,60,44
39,112,1575,259,car,80,62
41,112,1405,220,car,83,59
45,112,1751,338,car,96,88
2,113,841,279,car,92,76
28,113,307,693,car,272,264
30,113,1387,167,car,43,27
33,113,215,449,car,184,117
34,113,751,219,car,77,62
35,113,1496,220,car,59,43
39,113,1567,257,car,78,60
41,113,1395,215,car,81,57
45,113,1734,329,car,97,86
2,114,839,285,car,96,79
28,114,278,729,car,291,285
33,114,187,459,car,193,121
34,114,745,223,car,78,63
35,114,1491,217,car,57,41
39,114,1557,252,car,76,58
41,114,1393,214,car,82,58
45,114,1716,322,car,95,82
2,115,835,293,car,99,82
28,115,262,749,car,300,294
33,115,158,470,car,198,122
34,115,741,225,car,82,66
35,115,1484,215,car,58,42
39,115,1551,249,car,73,55
41,115,1386,210,car,77,55
45,115,1701,315,car,97,82
2,116,833,300,car,101,84
6,116,201,843,car,302,345
33,116,125,481,car,201,122
34,116,736,231,car,80,65
35,116,1479,213,car,58,42
39,116,1542,244,car,72,54
41,116,1382,208,car,73,52
45,116,1686,309,car,98,81
2,117,830,309,car,106,90
6,117,167,890,car,314,351
33,117,105,492,car,211,128
34,117,732,234,car,81,66
35,117,1475,211,car,56,40
39,117,1533,240,car,72,54
41,117,1374,204,car,70,50
45,117,1670,301,car,97,79
2,118,827,319,car,107,92
6,118,146,911,car,288,319
33,118,86,506,car,215,134
34,118,726,237,car,83,67
35,118,1471,208,car,56,39
39,118,1525,238,car,70,52
41,118,1372,202,car,69,49
45,118,1656,295,car,96,77
2,119,823,327,car,111,96
6,119,130,918,car,272,302
33,119,68,517,car,221,143
34,119,720,242,car,86,69
35,119,1463,205,car,55,39
39,119,1517,234,car,70,52
41,119,1369,199,car,71,51
45,119,1645,290,car,93,73
2,120,817,339,car,115,100
6,120,111,973,car,196,208
33,120,50,526,car,205,140
34,120,714,249,car,87,70
35,120,1461,203,car,54,38
39,120,1509,229,car,69,50
41,120,1364,198,car,68,50
45,120,1633,283,car,95,74
2,121,813,349,car,119,105
6,121,93,993,car,159,168
33,121,31,535,car,209,142
34,121,708,253,car,89,71
35,121,1458,200,car,53,37
39,121,1502,228,car,68,49
41,121,1360,196,car,63,45
45,121,1620,276,car,91,70
2,122,808,359,car,122,108
34,122,703,256,car,91,72
35,122,1453,198,car,53,36
39,122,1493,223,car,68,50
41,122,1356,191,car,62,44
45,122,1609,272,car,88,67
2,123,801,373,car,126,113
34,123,697,262,car,95,77
35,123,1445,198,car,52,36
39,123,1485,221,car,67,49
41,123,1352,190,car,59,42
45,123,1600,269,car,87,65
2,124,797,386,car,128,114
34,124,692,266,car,101,82
35,124,1439,194,car,51,35
39,124,1479,218,car,67,49
41,124,1347,187,car,57,40
45,124,1588,264,car,87,64
2,125,791,400,car,133,121
34,125,684,273,car,99,80
39,125,1471,214,car,66,48
45,125,1578,258,car,87,64
48,125,867,258,car,102,60
2,126,784,417,car,141,129
34,126,677,279,car,102,83
39,126,1461,208,car,70,51
45,126,1570,253,car,87,64
48,126,863,261,car,108,64
2,127,779,435,car,143,131
34,127,671,284,car,106,86
39,127,1450,203,car,72,53
41,127,1339,182,car,56,39
45,127,1560,249,car,86,62
48,127,859,264,car,122,74
2,128,772,454,car,151,139
34,128,663,293,car,105,86
39,128,1443,201,car,68,50
41,128,1338,181,car,55,38
45,128,1552,246,car,85,61
48,128,854,273,car,116,71
2,129,767,474,car,156,145
34,129,655,299,car,110,90
39,129,1435,197,car,68,49
41,129,1334,178,car,53,36
45,129,1543,242,car,84,60
48,129,847,280,car,117,73
2,130,760,497,car,161,151
34,130,646,304,car,115,95
39,130,1427,196,car,70,51
41,130,1331,178,car,52,35
45,130,1536,238,car,84,60
48,130,845,286,car,125,79
2,131,754,521,car,174,164
34,131,639,312,car,116,95
39,131,1419,194,car,68,50
41,131,1329,174,car,54,37
45,131,1530,235,car,83,59
48,131,840,294,car,122,79
2,132,745,550,car,183,175
34,132,630,320,car,116,96
39,132,1412,191,car,65,47
41,132,1326,172,car,53,36
45,132,1522,231,car,82,58
48,132,835,303,car,122,81
50,132,859,234,car,84,69
2,133,735,578,car,194,189
34,133,621,326,car,124,103
39,133,1407,190,car,65,47
45,133,1514,229,car,79,55
48,133,830,314,car,119,80
50,133,854,236,car,82,68
2,134,724,609,car,206,203
34,134,611,336,car,128,108
39,134,1399,186,car,64,47
41,134,1322,171,car,49,34
45,134,1508,224,car,77,54
48,134,827,322,car,131,91
50,134,851,239,car,81,67
2,135,714,647,car,219,217
34,135,602,346,car,132,112
39,135,1392,186,car,62,45
